availability,bookmark,company,ep,id,last_modified,link,title,type
True,False,Amazon,True,51720,"Wed, 04 Oct 2023 17:01:30 GMT",https://www.amazon.jobs/en/jobs/2459114/brand-specialist-intern-singapore-retail,"Brand Specialist Intern, Singapore Retail",INTERN
True,False,Google,True,49170,"Wed, 04 Oct 2023 17:07:24 GMT",https://www.google.com/about/careers/applications/jobs/results/119291037211337414-student-training-in-engineering-program-step-intern-2024?q=software+engineer&location=singapore&target_level=INTERN_AND_APPRENTICE,"Student Training in Engineering Program (STEP) Intern, 2024",INTERN
True,False,Centre for Strategic Infocomm Technologies,True,46603,"Wed, 04 Oct 2023 17:00:23 GMT",https://jobs.lever.co/csit/5c3c4d5a-6355-4474-87d4-b780e5f88265,Cybersecurity Researcher Intern,INTERN
True,False,Alpha Lab Capital,True,42079,"Wed, 04 Oct 2023 17:01:17 GMT",https://www.alphalab.capital/career/4980274004?gh_jid=4980274004,VC & Investments Intern 2024,INTERN
True,False,Jane Street,True,40285,"Wed, 04 Oct 2023 17:10:10 GMT",https://www.janestreet.com/join-jane-street/position/6939151002/,IT Operations Engineer (New York),INTERN
False,False,Google,True,39452,"Wed, 27 Sep 2023 17:07:37 GMT",https://www.google.com/about/careers/applications/jobs/results/117124202588185286-software-engineering-intern-2024?q=software+engineer&location=singapore&target_level=INTERN_AND_APPRENTICE,"Software Engineering Intern, 2024",INTERN
True,False,PayPal,True,38623,"Wed, 04 Oct 2023 17:06:14 GMT",https://paypal.eightfold.ai/careers/job/274895809542,Java Development Intern,INTERN
True,False,Dell,True,38622,"Wed, 04 Oct 2023 17:06:14 GMT",https://jobs.dell.com/job/singapore/software-engineer-intern-sg-edge-2024-intake/375/53328451232,Software Engineer Intern (SG-Edge) (2024 Intake),INTERN
True,False,Dell,True,38621,"Wed, 04 Oct 2023 17:06:14 GMT",https://jobs.dell.com/job/singapore/cloud-native-architect-and-developer-intern-4-to-6-months-2024-intake/375/53058795312,Cloud Native Architect and Developer Intern (4 to 6 months) (2024 Intake),INTERN
True,False,Dell,True,38620,"Wed, 04 Oct 2023 17:06:13 GMT",https://jobs.dell.com/job/singapore/software-engineer-intern-sg-edge-2024-intake/375/53127945744,Software Engineer Intern (SG-Edge) (2024 Intake),INTERN
True,False,Ahrefs,True,38556,"Wed, 04 Oct 2023 17:01:05 GMT",https://ahrefs.com/jobs/call-for-internship-backend,Call for internship (Backend),INTERN
False,False,Visa,True,38106,"Mon, 25 Sep 2023 14:16:19 GMT",https://jobs.smartrecruiters.com/Visa/743999926117883-cybersecurity-internship?trid=623f64f4-c657-499b-989f-16ab0ccee0d9,Cybersecurity Internship,INTERN
True,False,Jane Street,True,36326,"Wed, 04 Oct 2023 17:10:12 GMT",https://www.janestreet.com/join-jane-street/position/6934661002/,Windows Engineer (London),INTERN
True,False,Carousell,True,36233,"Wed, 04 Oct 2023 17:05:20 GMT",https://careers.carousell.com/job-posting/?jid=743999930632543,Software Engineering (Web) Intern - 2024,INTERN
True,False,Carousell,True,36232,"Wed, 04 Oct 2023 17:05:19 GMT",https://careers.carousell.com/job-posting/?jid=743999930632912,Software Engineering (Backend) Intern - 2024,INTERN
True,False,Jane Street,True,35546,"Wed, 04 Oct 2023 17:10:10 GMT",https://www.janestreet.com/join-jane-street/position/6867005002/,IT Operations Engineer (London),INTERN
True,False,Jane Street,True,35545,"Wed, 04 Oct 2023 17:10:10 GMT",https://www.janestreet.com/join-jane-street/position/6866995002/,IT Operations Engineer (London),INTERN
True,False,Binance,True,35455,"Wed, 04 Oct 2023 17:04:18 GMT",https://www.binance.com/en/careers/job?id=46e2e9ff-6d2e-4875-a62b-6d76f8275f58,Binance Accelerator Programme - Java Developer,INTERN
True,False,Accenture,True,35412,"Wed, 04 Oct 2023 17:00:53 GMT",https://www.accenture.com/sg-en/careers/jobdetails?id=R00152092_en&title=Accenture%20Internship%20Program%20%E2%80%93%20Technology%20(Aug%20to%20Dec%202023),Accenture Internship Program – Technology (Aug to Dec 2023),INTERN
False,False,Synapxe,True,32623,"Mon, 25 Sep 2023 14:13:03 GMT",https://careers-public-healthtech-jobs.synapxe.sg/job/Uni-Internship-Jan-to-Jun-2024-Software-Engineer/18195844/,Uni Internship Jan to Jun 2024 - Software Engineer,INTERN
True,False,Defence Science & Technology Agency,True,32496,"Wed, 04 Oct 2023 17:06:40 GMT",https://www.dsta.gov.sg/join-us/student/internships,Software Engineer Intern,INTERN
True,False,Inland Revenue Authority of Singapore,True,32485,"Wed, 04 Oct 2023 17:06:13 GMT",https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/12104401/2d8130da-4acd-1ede-90de-743cf160d26b,IMPACT Internship Programme - Infocomm Applications Intern,INTERN
True,False,Inland Revenue Authority of Singapore,True,32484,"Wed, 04 Oct 2023 17:06:13 GMT",https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/11723249/2d8130da-4acd-1ede-90de-6f20e23e526b,IMPACT Internship Programme - Microservice Developer Intern,INTERN
True,False,Cyber Security Agency of Singapore,True,32483,"Wed, 04 Oct 2023 17:06:12 GMT",https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/13829867/4113c3a0-3aab-1eee-9080-5d9aed43e0b2,"Intern, Gamification of Cyber Exercise (Joint-Operations Readiness)",INTERN
True,False,Cyber Security Agency of Singapore,True,32482,"Wed, 04 Oct 2023 17:06:12 GMT",https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/13881871/2d8130da-4acd-1ede-93ab-f58db392d26b,"Intern, Mobile Apps and Grading System (Cybersecurity Programme Centre)",INTERN
True,False,Cyber Security Agency of Singapore,True,32481,"Wed, 04 Oct 2023 17:06:12 GMT",https://www.careers.hrp.gov.sg/sap/bc/ui5_ui5/sap/ZGERCFA004/index.html#/JobDescription/12848735/4113c3a0-3aab-1eee-8fff-422aa78fe0b2,"Intern, Standards & Technology (Cybersecurity Engineering Centre)",INTERN
True,False,Government Technology Agency,True,32480,"Wed, 04 Oct 2023 17:06:12 GMT",https://sggovterp.wd102.myworkdayjobs.com/PublicServiceCareers/job/Government-Technology-Agency/GovTech-2024-Internships_JR-10000019866,GovTech 2024 Internships,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31019,"Wed, 04 Oct 2023 17:00:25 GMT",https://jobs.lever.co/csit/a8fc3c5f-ef4e-4749-a88d-ac50d3476a09,Software Engineer Intern (Product Development),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31018,"Wed, 04 Oct 2023 17:00:25 GMT",https://jobs.lever.co/csit/2b5aacac-69ac-4984-8d7f-f716dde8299e,Software Engineer Intern (IT Applications),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31017,"Wed, 04 Oct 2023 17:00:24 GMT",https://jobs.lever.co/csit/032f5de4-ff14-46e9-873b-5ef5f03e4ccb,Data Engineer Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31016,"Wed, 04 Oct 2023 17:00:24 GMT",https://jobs.lever.co/csit/246cdb87-61d1-4c64-ac9b-c64961b5b7a1,Vulnerability Research on Mobile Devices (Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31015,"Wed, 04 Oct 2023 17:00:24 GMT",https://jobs.lever.co/csit/771bcad6-0e8e-4030-bc63-4ab70ae9f089,Study of Authentication and Network Protocols of Instant Messengers on Mobile Devices (Internship Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31014,"Wed, 04 Oct 2023 17:00:24 GMT",https://jobs.lever.co/csit/8ab60b45-c26d-405d-8350-5b41be1d461b,Study in Security of Cloud Services and Software (Internship Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31013,"Wed, 04 Oct 2023 17:00:24 GMT",https://jobs.lever.co/csit/3ff96bf1-2077-44cd-8c3c-09825a136743,Study in Security of Cloud Computing Platforms (Internship Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31012,"Wed, 04 Oct 2023 17:00:23 GMT",https://jobs.lever.co/csit/245137f4-b323-4de2-845c-5389bca5fc82,Security Assessment Tools for Mobile Devices (Internship Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31011,"Wed, 04 Oct 2023 17:00:23 GMT",https://jobs.lever.co/csit/223fc5a2-b2f8-489d-8db6-41df6e5a5b10,Cybersecurity Software Researcher Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31010,"Wed, 04 Oct 2023 17:00:23 GMT",https://jobs.lever.co/csit/7bef81a2-632d-4db6-8b65-3fe0831d81cd,Anti-Malware Research on Mobile Devices (Internship Project),INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31009,"Wed, 04 Oct 2023 17:00:22 GMT",https://jobs.lever.co/csit/7c0dfd97-7185-4adc-bf83-ecc09971c7ce,Workplace Technologies Engineer Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31008,"Wed, 04 Oct 2023 17:00:22 GMT",https://jobs.lever.co/csit/79a39ab4-1c50-4593-acba-627510a01b42,Network Engineer Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31007,"Wed, 04 Oct 2023 17:00:22 GMT",https://jobs.lever.co/csit/4dc432c8-3cd8-4006-ac52-a43c802a462d,Mobile Platform Engineer Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31006,"Wed, 04 Oct 2023 17:00:22 GMT",https://jobs.lever.co/csit/d951f2e3-e5af-4f5e-9d5a-9bb0866fcc65,Infra System Service Engineer Intern,INTERN
True,False,Centre for Strategic Infocomm Technologies,True,31005,"Wed, 04 Oct 2023 17:00:22 GMT",https://jobs.lever.co/csit/1b34d034-4e4f-4bc7-917b-a9f030e51bf0,Cloud Computing Engineer Intern,INTERN
